Author_Name
"AARON, HENRY, 1934- ."
"LOGAN, KATHLEEN, 1948-"
"LOGUE, CALVIN McLEOD, 1935-"
"LOGUE, JOHN DANNELLY, SR., 1933-"
"LOGUE, PAULINE McLEOD, 1905-2000"
"LOLLAR, COLEMAN AUBREY, JR., 1946-1993"
"LONG, LILLIAN CAMPBELL PROUT, 1904-2004"
"LONG, MELVIN DURWARD, 1930-2008"
"LOTT, JANIE, 1916-2001"
"LOUIS, JOE (JOSEPH LOUIS BARROW), 1914-1981"
"LOVEMAN, LOUIS VANDIVER"
"LOVEMAN, ROBERT, 1864-1923"
"LOVEMAN, ROBERT, JR., 1944-2003"
"LOVETT, ROSE MARIE GIBBONS, 1902-1990"
"LOVVORN, ALICE REBECCA, 1921-2002"
"LOWI, THEODORE JAY, 1931-2017"
"LOWRY, INA FINCHER, 1927-1999"
"LU, LINY (Pseudonym)"
"LUCAS, SILAS EMMETT, 1931-1994"
"LUCIER, MAYME RUTH McCONNELL, 1924-1996"
"LUCK, CLARICE WHITE, 1894-1976"
"LUCKEY, CARL FREEMAN, 1914-2003"
"LUIS, EARLENE WOODS, 1929-1978"
"LUSK, LEILA FEARN, 1863-1955"
"LUSKIN, JOHN, 1908-1988"
"LUTTRELL, CAROLYN LANE, 1896-1976"
"LuZANNE, CELINA (Pseudonym)"
"LYLE, IDALEE M., 1907-2001"
"LYMAN, WILLIAM JOHNSTON, JR.,1921-1952"
"LYON, ANNE BOZEMAN, 1860-1936"
"LYON, RALPH MUSE, 1902-1993"
"LYONS, HILARY HERBERT, JR., 1909-1980"
"LYTLE, ANDREW NELSON, 1902-1995"
"MACKIN, COOPER RICHERSON, 1933-"
"MACON, LEON MEERTIEF, 1908-1965"
"MADDOX, ALVA HUGH, 1930-"
"MADRIGAL, JOSE A., 1945-"
"MAEHL, WILLIAM HARVEY, 1915-"
"MALLON, JOHN H., JR., 1910-1976"
"MALLON, LUCILLE SIMMS, 1917-1989"
"MALLON, RAYMOND PAUL, 1901-1950"
"MALLORY, KATHLEEN MOORE, 1879-1954"
"MALONE, DAVID HENRY, 1919-2003"
"MALONEY, SALLY WOODALL"
"MANCILL, JULIAN DOSSY, 1904-1971"
"MANLY, BASIL, JR., 1825-1892"
"MANLY, JOHN MATTHEWS, 1865-1940"
"MANLY, LOUISE, 1857-1936"
"MANN, MALCENA CATHERINE CLEEK, 1921-1993."
"MANN, ROBERT NEVILLE, 1904-1977"
"MANTOOTH, JOHN, 1972-"
"MARCH, WILLIAM (Pseudonym)"
"MARKS, HENRY SEYMOUR, 1933-2005"
"MARKS, MARSHA KASS, 1935-"
"MAROUAN, MAHA, 1975-"
"MARSHALL, BENNETT DAVIS, 1919-1969"
"MARSHALL, BENNY"
"MARSHALL, JAMES WILLIAMS, 1882-1964"
"MARSHALL, WALLACE, 1904-1982"
"MARTIN, BESSIE, 1891-1959"
"MARTIN, CARTER WILLIAMS, 1933-"
"MARTIN, DAVID LINCOLN, 1947-"
"MARTIN, EMILY, 1944-"
"MARTIN, HERBERT WOODWARD, 1933-"
"MARTIN, ROSCOE COLEMAN, 1903-1972"
"MARTIN, THOMAS WESLEY, 1881-1964"
"MARTIN, WILL IRVIN, 1871-1954"
"MASON, AUGUST HOWARD, 1895-1980"
"MASON, DAVID PIERCE, 1919-1994"
"MASON, SARA ELIZABETH, 1911-1993"
"MASON, WILLIAM HICKMAN, 1936-1990"
"MASSEY, JOHN, 1834-1918"
"MATHEWS, BURGIN"
"MATHEWS, FORREST DAVID, 1935-"
"MATHEWS, MARY LOU CHAPMAN, 1938-"
"MATHEWS, MITFORD McLEOD, 1891-1985"
"MATHIS, GERALD RAY, 1937-1981"
"MATTE, JACQUELINE ANDERSON, 1935-"
"MATTHEWS, JOHN L., 1899-"
"MATTHEWS, L. LAMAR (Pseudonym)"
"MATTHEWS, LOU EMMA EASTBURN, 1892-1957"
"MAULDIN, WILLIAM BENJAMIN, 1899-1987"
"MAUND, ALFRED THOMAS, JR., 1923-2007"
"MAXWELL, JAMES ROBERT, 1844-1930"
"MAY, AGNES, 1903-1990"
"MAYER, ARTHUR LOEB, 1886-1981"
"MAYFIELD, JAMES JEFFERSON, 1861-1927"
"MAYFIELD, SARA, 1905-1979"
"MAYS, WILLIE HOWARD, 1931-"
"McALISTER, HUGH (Pseudonym)"
"McCAIN, JAMES W., 1934-"
"McCALL, SIDNEY (Pseudonym)"
"McCAMMON, ROBERT RICK, 1952-"
"McCANN, FRANKLIN THRESHER, 1903-1969"
"McCLAIN, WILLIAM BOBBY, 1938-"
"McCLENDON, JAMES BARNEY, 1905-1985"
"McCLUER, LEON, 1893-1983"
"McCONNELL, ANDREW M., 1873-1950"
"McCORD, EDGAR OLIVER, 1867-1943"
"McCORD, HOWARD FURMAN, 1888-1983"
"McCORD, LEON CLARENCE, 1878-1952"
"McCORVEY, THOMAS CHALMERS, 1851-1932"
"McCOWN, JAMES HART, 1911-1991"
"McCRACKEN, WILLIAM LIONEL, 1915-1965"
"McDAVID, MITTIE ROSE OWEN, 1873-1948"
"McDERMOTT, JOHN CLARK,1988-1961"
"McDONALD, CLARABEL ISDELL, 1902-1999"
"McDONALD, DOROTHY CARTER, 1927-"
"McDONALD, FORREST, 1927-2016"
"McDONALD, MARGARET SPAIN, 1919-1996"
"McDONALD, THOMAS DENNIS, 1916-1999"
"McDONALD, WILLIAM LINDSEY, 1927-2009"
"MCDOWELL, DEBORAH E., 1951-"
"McDOWELL, MICHAEL, 1950-1999"
"McDUFFIE, JOHN, 1883-1950"
"McEACHIN, ARCHIBALD BRUCE, 1837-1909"
"McELROY, JAMES RUSSELL, 1901-1994"
"McFARLAND, PHILIP JAMES, 1930-"
"McFARLAND, THOMAS ALFRED, JR., 1926-2011"
"McGIFFIN, LEE SHAFFER, 1908-1978"
"McGINTY, BASIL BEASLEY, 1890-1975"
"McGRAW, EDGAR LEON, 1917-1987"
"McGREGOR, ALBERT ALEXANDER, 1835-1907"
"McGREGOR, ALBERT G."
"McILHENNY, EDWARD AVERY, 1872-1949"
"McKINNEY, JOHN WILLIAM, 1908-1989"
"McKINNEY, KATE SLAUGHTER, 1859-1939"
"McKOWN, DELOS BANNING, 1930-"
"McKREADY, KELVIN (Pseudonym)"
"McLAIN, CATHERINE RODGERS"
"McLAURIN, MELTON ALONZA, 1941-"
"McLEOD, GROVER STEPHEN, 1923-2012"
"McLESTER, JAMES SOMERVILLE, 1877-1954"
"McLIN, ELVA BELL, 1917-2015"
"McMANUS, JOSEPH FORDE ANTHONY, 1911-1980"
"McMILLAN, JAMES BENJAMIN, 1907-1996"
"McMILLAN, MALCOLM COOK, 1910-1989"
"McMILLAN, NORMAN ROBERT, 1942-"
"McMORRIES, EDWARD YOUNG.  1844-1906"
"McMURRAY, JAMES MAX, 1908-1966"
"McMURRY, LINDA OTT, 1945-"
"McMURRY, MILDRED FRANKLIN DODSON, 1897-1965"
"McNEILL, ROBERT BLAKELY, 1915-1975"
"McQUEEN, JAMES WILLIAM, 1900-1954"
"McWHINEY, GRADY, 1928-2006"
"McWHORTER, CHARLES COKER, 1904-1982"
"McWILLIAMS, RICHEBOURG GAILLARD, 1901-1986"
"McWILLIAMS, TENNANT S., 1943-"
"MEADOR, DANIEL JOHN, 1926-2013"
"MEADOWS, THOMAS BURTON, 1882-"
"MEEKS, LILLIAN FORT, 1903-1986"
"MEEKS, WAYNE A., 1932-"
"MELL, ANNIE REBECCA WHITE, 1849-1920"
"MELL, PATRICK HUES, 1850-1918"
"MELLOWN, BENNIE CATHERINE, 1906-1997"
"MELLOWN, ROBERT OLIVER, 1945-"
"MELTON, WIGHTMAN FLETCHER, 1867-1944"
"MELZER, JOHN HENRY, 1908-1967"
"MERONEY, ELOISE WHITLOW, 1898-"
"MERRIWETHER, JAMES LEWIS, 1914-"
"MERSMANN, JAMES FREDERICK, 1938-"
"MERTINS, GUSTAVE FREDERICK, 1872-1926"
"METCALF, CLAYTON GILLIS, 1920-1999"
"METTEE, MAURICE F., 1943-"
"MICHAEL, MARILYN ANNE LOSCO, 1947-"
"MILAM, LOUISE"
"MILES, EDWIN ARTHUR, 1926-"
"MILEY, L. DON, 1905-"
"MILLER, ERNEST L., 1913-1992"
"MILLER, LAWRENCE DEAN, 1850-"
"MILLER, MARY CYNTHIA “DIXIE” CLIFTON, 1905-1999"
"MILLER, REX, 1929-"
"MILTON, HILARY H., 1920-2002"
"MIMS, LAMBERT C., 1930-"
"MIXON, WINFIELD HENRY, 1859-1932"
"MIXSON, JOHN LESLIE, 1897-1988"
"MIZE, SHIRLEY JOHNSTON, 1915-2010"
"MOATES, MARIANNE MERRILL, 1942-"
"MOFFETT, MARTHA LEATHERWOOD, 1934-"
"MOHR, CHARLES THEODORE, 1824-1901"
"MONTGOMERY, THERON EARLE, III, 1952-"
"MOODY, ROBERT NEILL, 1851-"
"MOORE, ALBERT BURTON, 1887-1967"
"MOORE, GERALDINE HAMILTON, 1918-1987"
"MOORE, GLOVER, 1911-2004"
"MOORE, IDORA McCLELLAN PLOWMAN, 1843-1929"
"MOORE, JOHN TROTWOOD, 1858-1929"
"MOORE, WILLIAM DAVIS, 1882-1950"
"MOORE, WILLIAM GLENN, 1925-1977"
"MORGAN, CHARLES, JR., 1930-"
"MORLAND, JOHN KENNETH, 1916-"
"MORRISON, FLORENCE HOBSON, 1878-1972"
"MORRISS, ELIZABETH CLEVELAND, 1877-1960"
"MORTON, CARL P., 1920-1994"
"MORTON, JOHN ROBERT, 1904-1981."
"MOSELEY, ELLA LOWERY, 1866-1941"
"MOSELEY, FRANKLIN SHACKELFORD, 1899-1976"
"MOSES, ALFRED GEIGER, 1878-1956"
"MOSES, HORACE SMITH, 1906-1964"
"MOSES, LOUISE JANE, 1912-1987"
"MOSES, MONTROSE JONAS, 1878-1934"
"MOSLEY, DONALD CRUMPTON, 1932-"
"MOTON, ROBERT RUSSA, 1867-1940"
"MOUNT, ROBERT HUGHES, 1931-"
"MUDD, WILLIAM SWEARINGEN, 1885-1942"
"MULLER, ALBERT A., 1785-1858."
"MULLINS, ISLA MAY, 1859-1936"
"MUNRO, IRENE BRINSON, 1898-1991"
"MURPHY, EDGAR GARDNER, 1869-1913"
"MURRAY, ALBERT, 1916-2013"
"NEAL, PATRICIA"
"NICHOLS, LORI"
"NORRELL, ROBERT JEFFERSON, 1952-"
"NORRIS, HELEN, 1916-2013"
"ORDWAY, SALLY, 1939-"
"OSBORN, GEORGE COLEMAN, 1904-1982"
"OTT, THOMAS OLIVER, 1938-"
"OUSLEY, CLARENCE, 1863-1948"
"OWEN, MARIE BANKHEAD, 1869-1958"
"OWEN, THOMAS McADORY, 1866-1920"
"OWENS, JESSE (JAMES CLEVELAND), 1913-1980"
"OWSLEY, FRANK LAWRENCE, 1890-1956"
"OWSLEY, FRANK LAWRENCE, JR., 1928-"
"OWSLEY, HARRIET CHAPPELL, 1901-1999"
"PACKER, NANCY HUDDLESTON, 1925-"
"PAIGE, LEROY ROBERT “SATCHEL”, 1906-1982"
"PALMER, THOMAS WAVERLY, 1860-1926"
"PALMER, THOMAS WAVERLY, JR., 1891-1968"
"PANNELL, ANNE THOMAS GARY, 1910-1984"
"PANNELL, HENRY CLIFTON, 1897-1946"
"PARK, ROBERT EMORY, 1843-1909"
"PARKER, BETTY JUNE, 1929-"
"PARKER, MARC"
"PARKER, MELISSA BENEFIELD"
"PARKER, WILLIAM VANN, 1901-1987"
"PARKS, JOSEPH HOWARD, 1903-1992"
"PARR, JOHNSTONE, 1911-1991"
"PARTIN, ROBERT LOVE, 1899-1980"
"PARTRIDGE, MRS. BENJAMIN WARING, JR."
"PATERSON, JUDITH HILLMAN, 1936-"
"PATRICK, LUTHER, 1891-1957"
"PATRICK, WALTON RICHARD, 1909-1986"
"PATTERSON, RICHARD NORTH, 1947-"
"PATTY, JAMES SINGLETON, 1925-2012"
"PAXTON, MARY JEAN WALLACE, 1930-"
"PAYNE, LEONIDAS WARREN, JR., 1873-1945"
"PAYNE, PIERRE STEPHEN ROBERT, 1911-1983"
"PAYNE, ROBERT PRINCE, 1911- 1975."
"PEAK, HUGH STANFORD, 1924-1989"
"PEARSALL, MARION, 1923-1984"
"PEARSON, ALLEN MOBLEY, 1909-1999."
"PEARSON, ANLOUISA, 1898-1967."
"PECK, SAMUEL MINTURN, 1854-1938"
"PENDELL, ELMER, 1894-1982"
"PENDLETON, PANTHEA (Pseudonym)"
"PENICK, LADIE AVERETTE FONVILLE, 1895-1986"
"PENNINGTON, EDGAR LEGARE, 1891-1951"
"PENNY, KATE MAYHEW SPEAKE, 1864-1947"
"PENNY, MORRIS M., 1942-"
"PENNY, ROBERT LYNN, 1935-"
"PERCY, WALKER, 1916-1990"
"PERKINS, ROBERT LEE, 1930-"
"PERLIS, ALAN DAVID, 1943-2015"
"PERMALOFF, ANNE"
"PERSONS, JOHN CECIL, 1888-1974"
"PETRIE, GEORGE, 1860-1947"
"PHILLIPS, ARCHIE, 1935-"
"PHILLIPS, BUBBA"
"PHILLIPS, JOHN HERBERT, 1853-1921"
"PHILLIPS, THOMAS HAL, 1922-2007"
"PHY-OLSEN, ALLENE STUART, 1937-"
"PICKENS, ROY, 1939-"
"PICKENS, WILLIAM “CHAMP”, 1876-1963"
"PICKETT, ALBERT JAMES, 1810-1858"
"PICKLE, HAL BRITTAIN, 1929-"
"PIERSON, WILLIAM WHATLEY, 1890-1966"
"PIGMAN, WILLIAM WARD, 1910-1977"
"PIKE, FLORA MAE MILNER, 1893-1990"
"PILCHER, JOSEPH MITCHELL, 1896-1979"
"PILEGGE, JOSEPH C., JR. 1929-2013"
"PIM, WILLIAM PAUL, 1885-1950"
"PITTMAN, JAMES A., JR., 1927-2014"
"POLLARD, ELIZABETH B., 1939-2006"
"PONDER, FREDA ODALENE LITTLE, 1942-"
"POPE, VIRGINIA VOSS, 1934-"
"PORCH, DOUGLAS, 1944-"
"PORCH, LUTHER QUENTIN, 1919-"
"POSEY, WALTER BROWNLOW, 1900-1990"
"POWELL, THURSTON, 1916-2000"
"PRICE, RALPH (“SHORTY”), 1921-1980"
"PYRNELLE, LOUISE CLARKE, 1850-1907."
"QUINN, LUCINDA"
"RAY, GEORGE MCNEILL, 1910-1972."
"RAY, LOUISE CRENSHAW, 1890-1956"
"RAY, SANDRA KING"
"RAYFORD, JULIAN LEE, 1908-1980"
"REED, WENDY M."
"REID, DELBERT,"
"REID, PANTHEA, 1940-"
"REYNOLDS, BERNARD ADAMS, 1811-1878"
"RICHARDSON, WARFIELD CREATH,"
"RIDGELY, JOSEPH VINCENT, 1921-"
"RILEY, BENJAMIN FRANKLIN, 1849-1925"
"RIVES, AMELIE LOUISE, 1863-1945"
"RIVES, JOHN ROBERT THOMAS, 1875-1970"
"ROBBINS, ISAAC, III, 1923-"
"ROBERT, KATE AYERS, 1859-1941"
"ROBERTS, FRANCES CABANISS, 1916-2000"
"ROBERTS, JOSEPH BOXLEY, JR., 1918-"
"ROBERTS, THOMAS KEENER, 1870-1957."
"ROBERTSON, SAMUEL LOWRIE  1838-1909"
"ROBINSON, CAUSTON HENRY, 1920-"
"ROBINSON, FRED COLSON, 1930-"
"ROBINSON, LEWIS G., 1929-"
"ROBINSON, MARILETA SAWYER, 1942-"
"ROCHE, EMMA LANGDON, 1878-1945"
"RODGERS, CATHERINE, 1916-2004"
"ROGERS, GENE"
"ROGERS, WILLIAM WARREN, 1929-"
"ROLAND, ALICE KATE CASH, 1853-1915"
"RONNER, JOHN"
"ROSENGARTEN, THEODORE"
"ROSS, BENNETT BATTLE, 1864-1930"
"ROTH, GERTRUDE WOOLLEY, 1877-1951"
"ROUNTREE, MAUD McIVER, 1875-"
"ROUNTREE, THOMAS JEFFERSON, 1927-1992"
"ROVIN, BEN (Pseudonym)"
"ROWAN, RICHARD LAMAR, 1931-2008"
"ROWLEY, DAISY WOODRUFF , 1873-1938"
"ROY, KENNETH BENNETT, 1897-1976"
"ROY, SARAH SPENCER, 1901-1986"
"ROYALL, ANNE NEWPORT, 1769-1854"
"ROZELLE, EDDIE BELL, 1890-1981"
"RUFFIN, MARGARET ELLEN HENRY, 1857-1941."
"RUIZ-FORNELLS, ENRIQUE, 1925-"
"RUPLE, WAYNE DOUGLAS, 1950-"
"RUSH, ANNE KENT,1945-"
"RUSHTON, WILLIAM JAMES  1900-"
"RUSHTON, WILLIAM JAMES, III, 1929-"
"RUSSELL, MILDRED BREWER, 1874-1949."
"RUSSELL, RICHARD OLNEY, JR., 1932-"
"RUTH, WILLIAM HARDWICK, 1869-1956"
"RUTLAND, JAMES RICHARD, 1879-1948"
"RYAN, HARRIET FITTS, 1891-1984"
"RYAN, ROBERTA, 1921-"
"SAFFOLD, MILDRED REYNOLDS, 1870-1961"
"SAHAG, LEON MARR, 1889-1976"
"SAIA, CLAUDE VINCENT, 1931-2011"
"SAMPEY, JOHN RICHARD, 1863-1946"
"SAMUEL, WILLIAM LEVEY, 1924-"
"SANCHEZ, SONIA, 1934-"
"SANDERS, JENNINGS BRYAN, 1901-1990"
"SANDERS, WILLIAM HENRY, 1838-1918"
"SANDLIN, JOHN LEWIS, 1908-"
"SANDLIN, WINFRED GENE, 1927-2013"
"SANGUINETTI, EDEL ELISE AYERS, 1926-2014"
"SAUL, GEORGE"
"SAUNDERS, HARRIS, JR., 1925-"
"SAUNDERS, ROBERT LAWRENCE, 1923-"
"SAVELLE, MAXWELL, 1896-1979"
"SAWYER, EFFIE WHITE, 1920-"
"SAYLORS, GORDON CHASON, 1912-"
"SCALF, SUE, 1935-"
"SCHENK, GRETCHEN KNIEF, 1901-"
"SCHOLEFIELD, EDMUND O. (Pseudonym)"
"SCHROEDER, DAVID P., 1948-"
"SCHWARTZ, DOROTHY THAMES, 1908-"
"SCHWEITZER, JEROME WILLIAMS, 1908-1988"
"SCOTT, CAROLYNNE BLACKWELL, 1937-"
"SCOTT, EVA CLYDE STOVALL, 1886-1969"
"SCOTT, VERN, 1911-1995"
"SCREWS, WILLIAM WALLACE, 1839-1913"
"SCROGGS, WILLIAM OSCAR, 1879-1957"
"SCRUGGS, JOSIAH HUBERT, JR., 1906-"
"SCUDDER, MILDRED LEE, 1908-"
"SEALES, BOBBY JOE, 1945-"
"SEARCY, HARVEY BROWN, 1884-1964"
"SEARCY, MARGARET ZEHMER, 1926-"
"SEAY, FRANK, 1881-1920"
"SEAY, JAMES, 1939-"
"SEIBELS, FANNY LOCKETT MARKS, 1884-"
"SEIBERT, CHARLES H., 1881-"
"SELLERS, JAMES BENSON, 1889-1964"
"SENSABAUGH, ROY SPANN,     -1969"
"SHACKELFORD, EDWARD MADISON, 1863-1943"
"SHANKS, HENRY THOMAS, 1896-1959"
"SHANNON, HARPER, 1931-"
"SHARPE, MITCHELL RAYMOND, JR., 1924-"
"SHARRY, JOHN JOSEPH, 1925-"
"SHAW, NATE (Pseudonym)"
"SHEEHAN, ELIZABETH HOUSTON WINSTON, 1881-"
"SHEPARD, KATHERINE, 1881?-1962."
"SHEPARD, TAZEWELL TAYLOR, JR., 1921-"
"SHEPPARD, MONA, 1907-1992"
"SHERER, ROBERT GLENN, JR., 1940-"
"SHILLITO, MARTHA LYMAN, 1892-"
"SHIPPS, JAN BARNETT, 1929-"
"SHIRLEY, PHILIP"
"SHORT, CARROLL DALE, 1950-"
"SHORT, JOHN W., 1952-"
"SHOUSE, SARAH NEWMAN, 1932-"
"SHPAKOVSKII, ANATOLII IGNATEVICH, 1895-"
"SIBERT, WILLIAM LUTHER, 1860-1935"
"SIBLEY, CELESTINE, 1917-1999"
"SIDDONS, ANNE RIVERS"
"SIDES, WAYNE, 1948-"
"SIKORA, FRANK"
"SIMMONS, EDWARD N., 1914-2005"
"SIMMONS, MERINDA, 1981-"
"SIMMONS, OTIS DAVIS, 1928-"
"SIMS, GEORGE E., 1954-"
"SIMS, HENRY UPSON, 1873-1961"
"SIZEMORE, MARGARET DAVIDSON, 1910-1998"
"SKAGGS, MERRILL MAGUIRE, 1937-2008"
"SKAGGS, WILLIAM H., 1861-"
"SKIPPER, G. C., 1939-"
"SLAYDEN, THELMA THOMSON, 1907-1977"
"SLEDGE, EUGENE BONDURANT, 1923-2001"
"SLOAN, STEPHEN CHARLES, 1944-"
"SMALL, ROBERT VAN DYKE, 1924-"
"SMALLWOOD, VIVIAN, 1912-"
"SMELLEY, SUSAN B., 1912-"
"SMITH, ALGERNON LUNDY, 1868-1964"
"SMITH, ANDREW REID, II, 1926-2009"
"SMITH, ANITA,  1942-"
"SMITH, C. RAY  1929-1988"
"SMITH, CHARLES BUNYAN, 1891-"
"SMITH, CHARLES P., 1863-1929"
"SMITH, ESTELLE SCROGGINS, 1892-1986"
"SMITH, EUGENE ALLEN, 1841-1927"
"SMITH, FRANCES SCOTT FITZGERALD, 1921-1986"
"SMITH, GARY VINCENT, 1943-"
"SMITH, GEORGE EVERARD KIDDER, 1913-"
"SMITH, HATTIE LITTLE, 1930-"
"SMITH, HOLLAND McTYEIRE, 1882-1967"
"SMITH, LARRY J., 1942-"
"SMITH, LEE, 1944-"
"SMITH, MURPHY DEWITT, JR., 1920-"
"SMITH, NELSON FOOTE, 1815-1865"
"SMITH, ROBERT SELLERS, 1931-1996"
"SMITH, SEBIE BIGGS, 1908-2002"
"SMITH, SIMON JACOB, 1894-1967"
"SMITH, WILLIAM STEPHEN, 1917-"
"SMYTHE-HAITHE, MABEL MURPHY, 1918-2006"
"SNAVELY, GUY EVERETT, 1881-1974"
"SNELLGROVE, LOUIS, 1928-"
"SNOW, DONALD MERRITT, 1943-"
"SNOW, DOROTHEA JOHNSTON, 1909-2007"
"SOLOMON, JACK, 1927-"
"SOLOMON, MARTHA McLAUGHLIN, 1941-"
"SOLOMON, OLIVIA, 1937-"
"SORENSEN, VIRGINIA EGGERTSEN, 1912-1991"
"SOUTHGATE, WYNDHAM NELSON, 1910-"
"SPAIN, RUFUS BUIN, 1923-"
"SPAKOVSKY, ANATOL VON"
"SPARKMAN, BRANDON BUSTER, 1929-"
"SPARKMAN, CHELSEA IVO HALL, 1899-1999"
"SPAULDING, DANIEL D."
"SPENCE, RUTH SCHMIDT, 1922-"
"SPENCER, OCTAVIA, 1970-"
"SPENCER, SAMIA ISKANDER, 1943-"
"SPENCER, WILLIAM MICAJAH, JR., 1890-1979"
"SPIES, TOM DOUGLAS, 1902-1960"
"SPLOND, CHANDRA SPARKS"
"SPOTSWOOD, DILLON JORDAN"
"SPRATLING, WILLIAM PHILIP, 1863-1915"
"SPRATLING, WILLIAM PHILIP, JR., 1900-1967"
"SPRATT, ROBERT DAVIS, 1879-1950."
"STABLER, KENNETH MICHAEL, 1945-"
"STAFFO, DONALD, 1946-"
"STAKELY, CHARLES AVERETT, 1859-1937"
"STALLWORTH, ANNE NALL, 1935-"
"STANFIELD, MATTIE COLE, 1896-"
"STANLEY, CASSIUS MILLER, 1878-1968"
"STARR, BRYAN BARTLETT, 1934-"
"STARR, JOSEPH BARTON, 1945-"
"STATON, THOMAS FELIX, 1917-"
"STAYER, SAMUEL NISSLEY, 1942-"
"STECKEL, MINNIE LOUISE, 1890-1952"
"STEELE, EDLENA GILLESPIE"
"STEELE, FRANK, 1935-"
"STEELE, HAROLD CLYDE, 1925-"
"STEIN, RICHARD JAMES, 1925-2004"
"STEPHENS, GERTRUDE LOUISE JOHNSON, 1922-"
"STERKX, HENRY EUGENE, 1920-1989."
"STERNE, EMMA GELDERS, 1894-1971"
"STEVENS, LUCILE VERNON, 1899-1994"
"STEVENSON, BRYAN A., 1959-"
"STEWART, FRANK, 1947-"
"STEWART, JOHN CRAIG, 1915-2003"
"STEWART, MARGARET TURNER, 1914-2006"
"STEWART, WILLIAM HISTASPAS, 1939-"
"STILL, JAMES, 1906-2001"
"STODDARD, SANDOL, 1927-"
"STOLLENWERCK, FRANK, JR., 1883-1971"
"STONE, ELNA WORRELL, 1924-2001"
"STONE, PATTIE WRIGHT, 1852-"
"STOUDENMIRE, JOHN, 1942-"
"STOVALL, JAMES GLEN, 1948-"
"STOVER, VIRGINIA HENDRIX, 1916-1981"
"STRAYHORN, ZORA SHAY, 1909-1998"
"STREET, JAMES HOWELL, 1903-1954"
"STREET, OLIVER DAY, 1866-1944"
"STREET, THOMAS ADKINS, 1872-1936"
"STRIBLING, THOMAS SIGISMUND, 1881-1965"
"STRICKLAND, EDWIN ANSEL, 1939-"
"STRICKLAND, STEPHEN PARKS, 1933-2015"
"STRODE, HUDSON, 1892-1976"
"STRONG, DONALD STUART, 1912-"
"STRONG, HERMAN E., 1903-1993"
"STRONG, MARY ANTHONY, 1914-"
"STROTHER, CLAUDIA PATRICK WALLACE, 1929-"
"STUART, JOHN LEIGHTON, 1876-1962"
"STYLES, DAISY MADARIS, 1919-2012"
"SUGG, REDDING STANCILL, JR. 1922-2007"
"SULZBY, JAMES FREDERICK, JR. 1905-"
"SUMMERLIN, LEE R., 1934-"
"SUMMERSELL, CHARLES GRAYSON, 1908-1987"
"SUMRALL, RAYMOND OLAND, 1934-"
"SWARTZ, MIFFLIN WYATT, 1874-1964"
"SWEET, FRANKLYN HALEY, 1916-2001"
"TALESE, GAY, 1932-"
"TALLEY, BRETT, 1988-"
"TANNER, JOHN THOMAS, 1820-1899"
"TARRY, ELLEN, 1906-2008."
"TATE, ALBERTA HINDS, 1896-1986."
"TATUM, EDITH BRITTAIN CRENSHAW, 1877-1955"
"TAYLOR, ANNE THOMAS GARY PANNELL"
"TAYLOR, CHANDRA SPARKS"
"TAYLOR, CLEMENT ALLEN, 1900-"
"TAYLOR, HANNIS, 1851-1922"
"TAYLOR, HUGH LEE, 1898-1977."
"TAYLOR, JOSEPH JUDSON, 1855-1930."
"TAYLOR, LILY ROSS, 1886-1969."
"TAYLOR, ROBERT WOODDY, 1902-1999."
"TAYLOR, THOMAS JONES, 1829-1894"
"TEAFORD, RUTH E. ROMINE, 1927-"
"TEN HOOR, MARTEN, 1890-1967"
"TENNILLE, ANTOINETTE CATHRYN, “TONI”, 1940-"
"THOMAS, ALFRED BARNABY, 1896-1990."
"THOMAS, CHAMINTNEY ELIZABETH,1899-1979"
"THOMAS, DANIEL HARRISON, 1904-1999"
"THOMAS, DANIEL HOLCOMBE, 1906-2000."
"THOMAS, JOAB LANGSTON, 1933-2014"
"THOMAS, MABEL CLARE RANDALL, 1887-1975"
"THOMAS, MARGARET F., 1909-1990"
"THOMAS, MARY MARTHA HOSFORD, 1927-"
"THOMAS, RONNIE"
"THOMAS, ROSCOE A., 1928-"
"THOMAS, WILLIAM HOLCOMBE, 1867-1945"
"THOMASON,  JAMES ARTHUR, 1878-1952"
"THOMASON, MICHAEL VINCENT R., 1942-"
"THOMPSON, FANNIE LEE MCCONDICHIE, 1891-"
"THOMPSON, HENRIETTA MARY, 1896-1986"
"THOMPSON, JAMES JOSEPH, 1924-"
"THOMPSON, LUCILLE KEY, 1892-1963"
"THOMPSON, WESLEY SYLVESTER, 1907-1978"
"THOMSON, BAILEY, 1949-2003"
"THORNTON, JONATHAN MILLS, III,  1943-"
"TIDWELL, PEARL MAGNEASE ROGERS, 1906-2002"
"TIKHONOV, VALENTIN (Pseudonym)"
"TILFORD, EARL H., JR., 1945-"
"TILLERY, THOMAS CARLYLE, 1904-1988"
"TINGLEY, GLENN VINCENT, 1901-1988"
"TOMLINSON, STEPHEN, 1954-"
"TOWER, JAMES ALLEN, 1905-1961"
"TOWNES, SAMUEL ALLEN, 1806-1873"
"TOWNS, PEGGY ALLEN"
"TRAWICK, BUCKNER BEASLEY, 1914-2002"
"TRAYLOR, ROSA LYON, 1914-2001"
"TRENHOLM, HARPER COUNCIL, 1900-1963"
"TREST, WARREN, 1931-"
"TROUBETZKOY, PRINCESS"
"TUBBS, BILLY G., 1931-"
